1	-9.29386702482327
2	-18.5888212399097
3	-26.7018338986801
4	-34.4232490225566
5	-41.8695334712543
6	-49.1189847665566
7	-56.2073151449506
8	-63.1590845492107
9	-69.9889776771865
10	-76.7074294824359
11	-83.3139345753944
12	-89.8126536561955
13	-96.2074768450887
14	-102.493750112548
15	-108.676558222189
16	-114.743651866488
17	-120.706193764673
18	-126.548742223985
19	-132.27430375844
20	-137.880776385413
21	-143.357512202053
22	-148.712980935183
23	-153.931211044886
24	-159.017407504644
25	-163.965700764621
26	-168.768863956694
27	-173.425476883561
28	-177.92947648934
29	-182.282991573596
30	-186.479847041198
31	-190.51544158826
32	-194.38691761096
33	-198.093209375
34	-201.627259646664
35	-204.98950220225
36	-208.172749054702
37	-211.182434763052
38	-214.005783574511
39	-216.645926804079
40	-219.098675214784
41	-221.367274188328
42	-223.43818480411
43	-225.321071479413
44	-227.008863391556
45	-228.498280576541
46	-229.792189428818
47	-230.886960485199
48	-231.785854070708
49	-232.478659511335
50	-232.968310684988
51	-233.258076589515
52	-233.34119273892
53	-233.224074201327
54	-232.903098702457
55	-232.378094134109
56	-231.652343420203
57	-230.719133018068
58	-229.581415125439
59	-228.245941714304
60	-226.706067952076
61	-224.967716279631
62	-223.028160268145
63	-220.890279199448
64	-218.55738591592
65	-216.029333942962
66	-213.309440761933
67	-210.394765537787
68	-207.294267986068
69	-204.002260857871
70	-200.52487533359
71	-196.865448773474
72	-193.024764004829
73	-189.004396696054
74	-184.812019834437
75	-180.445126453725
76	-175.909578011059
77	-171.205263338781
78	-166.335544931225
79	-161.307262841985
80	-156.120313180062
81	-150.778068048462
82	-145.283902747333
83	-139.635880432579
84	-133.844611753675
85	-127.906407722362
86	-121.828097857996
87	-115.606311936079
88	-109.246126299934
89	-102.747456906677
90	-96.114962219176
91	-89.3424680821487
92	-82.4277540512296
93	-75.3672492831599
94	-68.1573800826765
95	-60.7875972512898
96	-53.2368817454316
97	-45.4807093245219
98	-37.4770928745145
99	-29.1396970710123
100	-20.3350002226484
101	-10.192616413284
